Transaction_ID,Timestamp,Store,Cashier_ID,Transaction_Type,Payment_Method,Amount_USD
TXN-10000,11/05/2026 11:33,Store 6,109,Completed,Cash,24.4
TXN-10001,01/05/2026 14:10,Store 5,105,Refund,Mobile App,10.61
TXN-10002,25/05/2026 19:09,Store 4,110,Completed,Mobile App,35.58
TXN-10003,11/05/2026 11:13,Store 4,104,Completed,Credit Card,35.12
TXN-10004,03/05/2026 11:28,Store 6,101,Completed,Mobile App,19.3
TXN-10005,28/05/2026 21:31,Store 6,105,Completed,Cash,35.78
TXN-10006,25/05/2026 11:10,Store 6,100,Completed,Mobile App,44.61
TXN-10007,02/05/2026 16:06,Store 6,108,Completed,Credit Card,43.16
TXN-10008,17/05/2026 9:26,Store 2,107,Completed,Credit Card,28.26
TXN-10009,13/05/2026 8:20,Store 4,106,Completed,Credit Card,6.8
TXN-10010,26/05/2026 9:39,Store 3,106,Completed,Mobile App,22.84
TXN-10011,14/05/2026 18:27,Store 3,109,Completed,Credit Card,13.18
TXN-10012,15/05/2026 11:19,Store 4,110,Completed,Mobile App,33.24
TXN-10013,02/05/2026 11:49,Store 2,109,Completed,Credit Card,21.97
TXN-10014,01/05/2026 13:03,Store 1,105,Completed,Cash,43.6
TXN-10015,05/05/2026 21:28,Store 2,100,Void,Mobile App,6.42
TXN-10016,22/05/2026 18:04,Store 5,104,Completed,Mobile App,25.92
TXN-10017,26/05/2026 17:43,Store 3,103,Completed,Credit Card,16.68
TXN-10018,15/05/2026 18:20,Store 6,104,Completed,Cash,20.81
TXN-10019,18/05/2026 21:25,Store 6,106,Completed,Credit Card,13.76
TXN-10020,14/05/2026 17:54,Store 2,110,Completed,Mobile App,15.78
TXN-10021,04/05/2026 20:08,Store 1,110,Completed,Credit Card,14.11
TXN-10022,07/05/2026 21:25,Store 6,104,Completed,Mobile App,22.73
TXN-10023,23/05/2026 18:21,Store 3,103,Completed,Credit Card,23.29
TXN-10024,03/05/2026 14:04,Store 2,109,Completed,Credit Card,40.21
TXN-10025,23/05/2026 10:48,Store 6,100,Completed,Mobile App,14.24
TXN-10026,01/05/2026 21:17,Store 3,103,Void,Cash,30.38
TXN-10027,25/05/2026 12:46,Store 4,110,Completed,Cash,12.47
TXN-10028,25/05/2026 10:10,Store 4,106,Void,Mobile App,17.1
TXN-10029,21/05/2026 20:03,Store 2,109,Completed,Credit Card,25.41
TXN-10030,25/05/2026 21:40,Store 3,103,Completed,Mobile App,20.56
TXN-10031,26/05/2026 11:37,Store 2,105,Completed,Credit Card,24.72
TXN-10032,07/05/2026 8:19,Store 5,108,Completed,Mobile App,23.48
TXN-10033,02/05/2026 15:46,Store 4,109,Completed,Mobile App,44.7
TXN-10034,10/05/2026 17:52,Store 6,104,Completed,Mobile App,39.33
TXN-10035,15/05/2026 7:12,Store 1,101,Completed,Credit Card,5.77
TXN-10036,04/05/2026 9:30,Store 2,100,Completed,Cash,33.74
TXN-10037,22/05/2026 21:33,Store 4,110,Void,Cash,19.59
TXN-10038,09/05/2026 13:22,Store 2,107,Completed,Mobile App,20.57
TXN-10039,03/05/2026 21:48,Store 5,100,Completed,Mobile App,24.43
TXN-10040,14/05/2026 18:53,Store 3,106,Completed,Cash,23.54
TXN-10041,14/05/2026 18:46,Store 4,105,Completed,Mobile App,33.74
TXN-10042,29/05/2026 14:05,Store 6,104,Completed,Cash,41.29
TXN-10043,21/05/2026 18:24,Store 1,109,Completed,Credit Card,21.71
TXN-10044,10/05/2026 8:51,Store 3,105,Completed,Credit Card,21.91
TXN-10045,12/05/2026 15:58,Store 2,107,Completed,Mobile App,23.67
TXN-10046,02/05/2026 17:58,Store 1,110,Completed,Cash,37.77
TXN-10047,14/05/2026 20:24,Store 2,109,Completed,Credit Card,42.97
TXN-10048,26/05/2026 18:46,Store 3,100,Completed,Credit Card,38.17
TXN-10049,26/05/2026 12:26,Store 6,104,Completed,Mobile App,5.39
TXN-10050,23/05/2026 11:06,Store 4,109,Completed,Credit Card,8.53
TXN-10051,18/05/2026 16:24,Store 3,108,Void,Credit Card,32.81
TXN-10052,11/05/2026 16:37,Store 3,108,Completed,Credit Card,29.75
TXN-10053,06/05/2026 20:06,Store 2,101,Completed,Credit Card,37.9
TXN-10054,10/05/2026 17:29,Store 2,106,Completed,Mobile App,41.27
TXN-10055,14/05/2026 20:12,Store 3,103,Completed,Mobile App,27.89
TXN-10056,24/05/2026 15:04,Store 2,107,Completed,Credit Card,21.08
TXN-10057,16/05/2026 11:21,Store 2,110,Completed,Credit Card,5.85
TXN-10058,29/05/2026 21:59,Store 3,103,Completed,Cash,24.47
TXN-10059,16/05/2026 18:48,Store 4,101,Completed,Credit Card,30.34
TXN-10060,30/05/2026 17:59,Store 4,108,Completed,Credit Card,23.35
TXN-10061,16/05/2026 13:05,Store 2,102,Completed,Credit Card,17
TXN-10062,21/05/2026 21:28,Store 4,106,Completed,Mobile App,5.41
TXN-10063,04/05/2026 15:10,Store 1,101,Completed,Cash,35.73
TXN-10064,02/05/2026 19:34,Store 1,106,Completed,Mobile App,42.28
TXN-10065,21/05/2026 15:37,Store 2,107,Completed,Mobile App,35.64
TXN-10066,28/05/2026 9:26,Store 3,106,Completed,Cash,25.09
TXN-10067,12/05/2026 20:22,Store 5,109,Completed,Credit Card,39.67
TXN-10068,07/05/2026 11:52,Store 2,107,Completed,Cash,7.68
TXN-10069,28/05/2026 15:34,Store 5,104,Completed,Cash,29.11
TXN-10070,05/05/2026 17:39,Store 1,100,Discount applied,Mobile App,30.16
TXN-10071,13/05/2026 16:05,Store 2,104,Completed,Cash,35.58
TXN-10072,11/05/2026 10:42,Store 4,100,Completed,Credit Card,8.03
TXN-10073,13/05/2026 21:30,Store 6,100,Completed,Credit Card,6.74
TXN-10074,07/05/2026 8:47,Store 4,100,Completed,Cash,30.1
TXN-10075,24/05/2026 16:21,Store 4,108,Completed,Credit Card,6.23
TXN-10076,12/05/2026 11:53,Store 4,109,Completed,Credit Card,40.33
TXN-10077,16/05/2026 7:08,Store 6,102,Completed,Credit Card,39.79
TXN-10078,21/05/2026 16:43,Store 2,107,Discount applied,Cash,35.85
TXN-10079,07/05/2026 13:45,Store 2,110,Completed,Mobile App,7.57
